======================================================================
Phase 1: DE Optimization (Control_N Algorithm) - Seed 0
======================================================================
Using workers=25
DE Iter     1: Loss=9.034667e+04 (Spread=7.531328e+01, PenIm=9.03e+04, convergence=0.000e+00)
DE Iter   100: Loss=5.805321e+01 (Spread=5.805321e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   200: Loss=1.612456e+01 (Spread=1.612456e+01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   300: Loss=6.844407e+00 (Spread=6.844407e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   400: Loss=3.318106e+00 (Spread=3.318106e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   500: Loss=2.159471e+00 (Spread=2.159471e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   600: Loss=1.650246e+00 (Spread=1.650246e+00, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   700: Loss=7.445609e-01 (Spread=7.445609e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   800: Loss=3.627199e-01 (Spread=3.627199e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter   900: Loss=3.094425e-01 (Spread=3.094425e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1000: Loss=1.416826e-01 (Spread=1.416826e-01, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1100: Loss=7.271368e-02 (Spread=7.271368e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1200: Loss=4.477615e-02 (Spread=4.477615e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1300: Loss=3.064977e-02 (Spread=3.064977e-02, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1400: Loss=8.525865e-03 (Spread=8.525865e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1500: Loss=8.525865e-03 (Spread=8.525865e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1600: Loss=5.103742e-03 (Spread=5.103742e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1700: Loss=3.435830e-03 (Spread=3.435830e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1800: Loss=1.456531e-03 (Spread=1.456531e-03, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  1900: Loss=9.621065e-04 (Spread=9.621065e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2000: Loss=9.621065e-04 (Spread=9.621065e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2100: Loss=4.950617e-04 (Spread=4.950617e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2200: Loss=4.624369e-04 (Spread=4.624369e-04, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter  2300: Loss=1.930096e-04 (Spread=1.930096e-04, PenIm=0.00e+00, convergence=0.000e+00)
